20:46:10 | rss_kb=17643136 | Index:   building|Memory:  16.8 GB (peak 16.8 GB)|busy:        warm-build (running 0h 11m 0s)|busy:        delta (running 0h 7m 16s)
20:46:26 | rss_kb=17643152 | Index:   building|Memory:  16.8 GB (peak 16.8 GB)|busy:        warm-build (running 0h 11m 15s)|busy:        delta (running 0h 7m 31s)
20:46:41 | rss_kb=17643152 | Index:   building|Memory:  16.8 GB (peak 16.8 GB)|busy:        warm-build (running 0h 11m 30s)|busy:        delta (running 0h 7m 46s)
20:46:56 | rss_kb=17643152 | Index:   building|Memory:  16.8 GB (peak 16.8 GB)|busy:        warm-build (running 0h 11m 45s)|busy:        delta (running 0h 8m 1s)
20:47:11 | rss_kb=17643152 | Index:   building|Memory:  16.8 GB (peak 16.8 GB)|busy:        warm-build (running 0h 12m 1s)|busy:        delta (running 0h 8m 17s)
20:47:27 | rss_kb=17643152 | Index:   building|Memory:  16.8 GB (peak 16.8 GB)|busy:        warm-build (running 0h 12m 17s)|busy:        delta (running 0h 8m 32s)
20:47:42 | rss_kb=17643152 | Index:   building|Memory:  16.8 GB (peak 16.8 GB)|busy:        warm-build (running 0h 12m 32s)|busy:        delta (running 0h 8m 48s)
20:47:58 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 12m 47s)|busy:        delta (running 0h 9m 3s)
20:48:13 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 13m 3s)|busy:        delta (running 0h 9m 19s)
20:48:29 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 13m 18s)|busy:        delta (running 0h 9m 34s)
20:48:44 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 13m 33s)|busy:        delta (running 0h 9m 49s)
20:48:59 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 13m 48s)|busy:        delta (running 0h 10m 4s)
20:49:14 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 14m 4s)|busy:        delta (running 0h 10m 20s)
20:49:30 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 14m 20s)|busy:        delta (running 0h 10m 35s)
20:49:45 | rss_kb=18080848 | Index:   building|Memory:  17.2 GB (peak 17.2 GB)|busy:        warm-build (running 0h 14m 35s)|busy:        delta (running 0h 10m 50s)
20:50:01 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 14m 50s)|busy:        delta (running 0h 11m 6s)
20:50:16 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 15m 6s)|busy:        delta (running 0h 11m 22s)
20:50:32 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 15m 21s)|busy:        delta (running 0h 11m 37s)
20:50:47 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 15m 37s)|busy:        delta (running 0h 11m 52s)
20:51:03 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 15m 52s)|busy:        delta (running 0h 12m 8s)
20:51:18 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 16m 8s)|busy:        delta (running 0h 12m 24s)
20:51:34 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 16m 23s)|busy:        delta (running 0h 12m 39s)
20:51:49 | rss_kb=18465024 | Index:   building|Memory:  17.6 GB (peak 17.6 GB)|busy:        warm-build (running 0h 16m 38s)|busy:        delta (running 0h 12m 54s)
20:52:04 | rss_kb=18648400 | Index:   building|Memory:  18.0 GB (peak 18.0 GB)|busy:        warm-build (running 0h 16m 53s)|busy:        delta (running 0h 13m 9s)
